Item_Visibility,Item_MRP,Outlet_Size,Outlet_Location_Type,Item_Outlet_Sales,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Outlet_Identifier_0,Outlet_Identifier_1,Outlet_Identifier_2,Outlet_Identifier_3,Outlet_Identifier_4,Outlet_Identifier_5,Outlet_Identifier_6,Outlet_Identifier_7,Outlet_Identifier_8,Outlet_Identifier_9
-4.13159164187191,249.8092,1,0,8.225540047352807,False,True,False,False,False,False,False,False,False,False,False,False,False,True
-3.9482609394932218,48.2692,1,2,6.0945237392510165,False,False,True,False,False,False,False,True,False,False,False,False,False,False
-4.088159230885106,141.618,1,0,7.64839178274657,False,True,False,False,False,False,False,False,False,False,False,False,False,True
-11.512925464970229,182.095,1,2,6.596299518599364,True,False,False,False,True,False,False,False,False,False,False,False,False,False
-11.512925464970229,53.8614,0,2,6.90244642190478,False,True,False,False,False,True,False,False,False,False,False,False,False,False
-11.512925464970229,51.4008,1,2,6.321862677209428,False,False,True,False,False,False,False,True,False,False,False,False,False,False
-4.362138599260373,57.6588,0,2,5.8393408407479575,False,True,False,False,False,True,False,False,False,False,False,False,False,False
-2.0597969111782177,107.7622,1,2,8.299724410591258,False,False,False,True,False,False,False,False,False,True,False,False,False,False
-4.092519388864809,96.9726,1,1,6.9815619150244075,False,True,False,False,False,False,False,False,False,False,False,True,False,False
-2.359583154985157,187.8214,1,1,8.457556770793127,False,True,False,False,False,False,True,False,False,False,False,False,False,False
-11.512925464970229,45.5402,1,0,7.3238481188187174,False,True,False,False,False,False,False,False,False,False,False,False,False,True
-3.0906195368001317,144.1102,2,0,7.6903559816496525,False,True,False,False,False,False,False,False,False,False,False,False,True,False
-2.3023501206022203,145.4786,1,0,7.371026678789836,False,True,False,False,False,False,False,False,False,False,False,False,False,True
-3.0519359621127236,119.6782,2,0,7.670991614557261,False,True,False,False,False,False,False,False,False,False,False,False,True,False
-2.6877432892141755,196.4426,0,2,7.589551283012612,False,True,False,False,False,True,False,False,False,False,False,False,False,False
-2.6722155845010076,56.3614,2,0,7.34427917059338,False,True,False,False,False,False,False,False,False,False,False,False,True,False
-4.755289718485217,115.3492,1,2,7.391346681154226,False,False,True,False,False,False,False,True,False,False,False,False,False,False
-2.6706622818747014,54.3614,1,0,6.577024025336779,False,True,False,False,False,False,False,False,False,False,False,False,False,True
-3.374136395396335,113.2834,1,2,7.742257918551461,False,False,False,True,False,False,False,False,False,True,False,False,False,False
-2.2778717976907337,230.5352,2,1,7.918782356958637,False,True,False,False,False,False,False,False,False,False,True,False,False,False
-1.979051363309042,250.8724,0,2,8.236178445529532,False,True,False,False,False,True,False,False,False,False,False,False,False,False
